Order_ID,Customer_ID,Order_Date,Order_Status
1,658,2025-02-01 21:00:00,Delivered
2,639,2025-12-19 18:00:00,Delivered
3,376,2024-08-14 19:00:00,Delivered
4,14,2024-08-01 20:00:00,Delivered
5,912,2024-03-22 14:00:00,Delivered
6,63,2025-01-04 17:00:00,Delivered
7,912,2025-03-01 11:00:00,Delivered
8,60,2025-09-23 08:00:00,Delivered
9,752,2024-03-13 09:00:00,Delivered
10,222,2025-06-15 03:00:00,Delivered
11,237,2025-06-28 12:00:00,Delivered
12,539,2025-11-03 07:00:00,Delivered
13,971,2024-07-02 17:00:00,Delivered
14,426,2024-04-18 20:00:00,Delivered
15,691,2025-04-14 22:00:00,Delivered
16,905,2024-04-16 05:00:00,Delivered
17,564,2025-02-15 16:00:00,Delivered
18,162,2025-06-30 19:00:00,Delivered
19,361,2024-11-18 17:00:00,Returned
20,333,2025-01-15 13:00:00,Delivered
21,441,2024-11-27 19:00:00,Delivered
22,559,2024-08-07 12:00:00,Delivered
23,949,2024-09-17 11:00:00,Returned
24,459,2025-02-10 00:00:00,Delivered
25,292,2025-09-02 00:00:00,Delivered
26,912,2024-11-05 00:00:00,Delivered
27,228,2024-08-07 10:00:00,Delivered
28,842,2025-12-07 08:00:00,Cancelled
29,524,2025-07-23 18:00:00,Returned
30,159,2024-04-06 01:00:00,Delivered
31,160,2024-05-21 08:00:00,Delivered
32,597,2024-09-12 07:00:00,Delivered
33,308,2024-04-04 18:00:00,Delivered
34,940,2024-08-10 23:00:00,Delivered
35,333,2025-05-09 05:00:00,Delivered
36,921,2025-12-07 22:00:00,Delivered
37,930,2024-04-07 19:00:00,Delivered
38,39,2025-08-13 12:00:00,Delivered
39,58,2024-12-08 11:00:00,Cancelled
40,445,2025-03-02 03:00:00,Cancelled
41,233,2025-10-30 19:00:00,Returned
42,650,2025-10-09 12:00:00,Delivered
43,537,2024-02-12 10:00:00,Delivered
44,154,2024-11-30 16:00:00,Delivered
45,157,2024-02-21 21:00:00,Delivered
46,403,2025-04-01 19:00:00,Delivered
47,93,2024-08-15 13:00:00,Delivered
48,404,2024-05-31 04:00:00,Delivered
49,488,2025-08-08 23:00:00,Delivered
50,409,2024-09-25 02:00:00,Delivered
51,445,2025-12-15 04:00:00,Delivered
52,493,2025-07-26 06:00:00,Delivered
53,668,2025-08-08 06:00:00,Delivered
54,754,2025-06-20 07:00:00,Delivered
55,273,2025-03-16 10:00:00,Delivered
56,590,2024-04-01 03:00:00,Delivered
57,434,2025-01-09 11:00:00,Delivered
58,353,2025-08-31 20:00:00,Delivered
59,313,2024-06-22 11:00:00,Delivered
60,823,2025-03-28 19:00:00,Delivered
61,46,2024-08-27 06:00:00,Delivered
62,160,2024-03-28 03:00:00,Delivered
63,249,2025-09-27 04:00:00,Cancelled
64,840,2024-10-21 00:00:00,Delivered
65,824,2024-04-23 09:00:00,Delivered
66,24,2024-12-05 06:00:00,Delivered
67,217,2024-07-27 17:00:00,Delivered
68,265,2025-07-15 15:00:00,Delivered
69,145,2025-12-12 22:00:00,Delivered
70,386,2025-08-19 21:00:00,Delivered
71,262,2024-06-23 01:00:00,Delivered
72,809,2025-12-14 19:00:00,Delivered
73,477,2025-11-01 00:00:00,Delivered
74,677,2024-10-04 21:00:00,Cancelled
75,676,2025-01-03 03:00:00,Delivered
76,889,2025-10-26 12:00:00,Delivered
77,390,2025-06-04 22:00:00,Delivered
78,324,2025-05-11 19:00:00,Delivered
79,191,2024-07-22 16:00:00,Returned
80,575,2025-12-30 00:00:00,Delivered
81,945,2025-06-26 09:00:00,Delivered
82,403,2024-06-09 00:00:00,Delivered
83,361,2024-12-29 20:00:00,Delivered
84,514,2024-10-09 01:00:00,Delivered
85,900,2025-01-31 00:00:00,Returned
86,972,2024-10-13 07:00:00,Delivered
87,919,2025-02-06 21:00:00,Delivered
88,748,2025-01-26 16:00:00,Returned
89,628,2025-10-02 21:00:00,Delivered
90,247,2025-08-09 04:00:00,Delivered
91,320,2025-09-11 10:00:00,Delivered
92,135,2024-07-30 20:00:00,Delivered
93,555,2025-12-01 06:00:00,Cancelled
94,317,2025-12-06 22:00:00,Cancelled
95,932,2024-05-18 13:00:00,Returned
96,1000,2024-05-28 20:00:00,Returned
97,940,2024-06-10 10:00:00,Delivered
98,546,2024-05-01 05:00:00,Delivered
99,901,2024-05-29 23:00:00,Delivered
100,327,2025-02-27 13:00:00,Delivered
101,764,2025-10-14 23:00:00,Delivered
102,798,2024-07-11 03:00:00,Delivered
103,27,2025-09-18 19:00:00,Delivered
104,581,2025-09-19 07:00:00,Delivered
105,237,2025-12-04 00:00:00,Delivered
106,705,2025-05-03 04:00:00,Delivered
107,620,2025-04-25 22:00:00,Delivered
108,189,2025-01-31 15:00:00,Delivered
109,168,2024-07-16 07:00:00,Delivered
110,783,2024-01-16 08:00:00,Returned
111,228,2025-11-18 06:00:00,Delivered
112,68,2024-06-30 14:00:00,Cancelled
113,502,2025-12-05 10:00:00,Cancelled
114,909,2024-09-09 13:00:00,Delivered
115,43,2025-09-14 23:00:00,Cancelled
116,738,2024-11-16 12:00:00,Delivered
117,761,2025-08-08 19:00:00,Delivered
118,657,2025-12-22 01:00:00,Delivered
119,463,2025-04-12 01:00:00,Cancelled
120,252,2025-06-15 17:00:00,Delivered
121,753,2024-02-10 17:00:00,Delivered
122,784,2025-10-07 01:00:00,Delivered
123,451,2025-02-11 09:00:00,Delivered
124,293,2025-04-17 05:00:00,Delivered
125,628,2024-02-25 22:00:00,Delivered
126,146,2025-04-19 20:00:00,Delivered
127,740,2025-05-27 03:00:00,Delivered
128,600,2025-12-13 17:00:00,Delivered
129,424,2024-11-27 14:00:00,Delivered
130,465,2025-08-27 22:00:00,Cancelled
131,904,2025-04-10 02:00:00,Delivered
132,709,2025-10-26 22:00:00,Delivered
133,736,2024-05-06 02:00:00,Delivered
134,461,2025-10-11 11:00:00,Delivered
135,725,2025-01-28 23:00:00,Delivered
136,524,2025-09-18 05:00:00,Delivered
137,390,2024-02-14 05:00:00,Cancelled
138,580,2025-11-06 04:00:00,Delivered
139,149,2024-07-02 22:00:00,Delivered
140,316,2024-11-12 23:00:00,Delivered
141,457,2024-10-22 20:00:00,Delivered
142,921,2024-05-14 06:00:00,Delivered
143,784,2024-09-16 00:00:00,Delivered
144,876,2025-05-25 17:00:00,Delivered
145,623,2025-05-20 07:00:00,Delivered
146,676,2025-05-02 14:00:00,Delivered
147,82,2025-09-07 19:00:00,Delivered
148,904,2025-07-14 08:00:00,Delivered
149,571,2024-07-31 01:00:00,Delivered
150,57,2025-10-30 11:00:00,Delivered
151,875,2024-02-03 21:00:00,Delivered
152,618,2024-11-01 10:00:00,Returned
153,51,2024-04-21 13:00:00,Returned
154,166,2025-11-19 09:00:00,Delivered
155,709,2025-12-17 19:00:00,Delivered
156,576,2024-06-30 14:00:00,Delivered
157,369,2024-02-06 02:00:00,Delivered
